Column1,Column2,列1
0.8978979,色んな人が先走った噂を流してて嫌だったけど0月0日が楽しみでも抗がん剤治療中で退院まだだから退院したらすぐ買いに行く,
0.89787084,hikakinが作ったラーメンってだけで埋もれないね,
0.89786714,あのラーメン作るのはいいんですけどちゃんと休んでくれませんか応援してます早くラーメン食べたいです,
0.89786184,本当にどこまで人を笑顔にすれば気が済むんだかヒカキンさんは,
0.89783,おめでとうございます楽しみー早く買いたいみんなを勇気づけ幸せにできるラーメンヒカキンさんの想いが詰まってて素敵です,
0.8976775,息子と一緒に食べたいと思います,
0.89760244,hikakinさん忙しい中でも本当に好きなことして生きてる感じがしてすごくいい,
0.89742523,これはこれは努力の結晶でしかないですねぜひ見かけた際は食べて見ます,
0.89741427,hikakinさんは神なんなら仏の域にまで達してるただ普通に頑張っただけじゃあんまり夢って叶えられる物じゃないと思うからhikakinさんはものすごい努力の上にこの夢を実現してるんだと思う,
0.89725673,もう涙が止まりませんヒカキンさんの一生懸命努力出来るところとか本当に尊敬します絶対に買います,
0.8972034,ヒカキンが嬉しそうなの観てるとこっちも嬉しくなるね,
0.8970457,再生回数見て思ったけど今でもみんなの関心を惹き付けてる事が凄いちゃんとみんなhikakinの事気になってるんだね,
0.89700997,ラーメンとかだけじゃなくてhikakinプレミアムの最初の商品なの夢があって嬉しい,
0.8966963,体質がらラーメン小麦粉が食べられませんがメシも出してくれたなんて心から応援いたします,
0.8965996,ラーメンメシめちゃくちゃ美味しそうなので買って食べて見たいと思います夢を現実に叶えられて良かったですねおめでとうございます,
0.89645755,いつでも好きな事に全力なヒカキンさんやっぱり好きだなぁ,
0.8963486,ラーメンに凄くこだわって作られたのが伝わってきます発売日楽しみです,
0.89634824,セブンイレブンに0月0日に出るんですか買って食べて見ますね東京にラーメンやさんでやるかと思いましたヒカキンさん人気あるからめちゃくちゃ混むよねセブンイレブンに出るんだら良かったです,
0.8962972,ヒカキンさんのこだわりや夢思い出が詰まったラーメン頂きたいと思います本当におめでとうございます,
0.8959864,好きなことを極められる人は本当に努力をしてきた人だと思います尊敬,
0.8959623,味噌ラーメン味のカップ飯は売ってないからめちゃくちゃ嬉しいです絶対買います,
0.89593714,東京にラーメン店を開くとかじゃなくて手頃な価格で全国で買えるカップ麵にしたところがヒカキンって感じして好き,
0.8957288,hikakinさんやっぱ凄いわ誰でも手に入れられるコンビニでの販売嬉しいです,
0.89534986,hikakinの凄い所はラーメンとカップ飯を両方しっかり食べてるところ,
0.89530647,こういう有名人が関わる商品って大体ちょっと口出すくらいで後は全部任せるって感じの印象だったけどヒカキンはめちゃくちゃ従事しててやっぱこの人違うなって思ったわ,
0.89520735,ラーメン大好きなhikakinさんが作ったラーメンとか絶対に美味いやんあと手軽に買えるとか最高買うしかないわ,
0.895061,hikakinさんが嬉しそうに楽しそうにしてて元気でるなーアレルギークリアしてたら買って食べます無理だったら誰かにプレゼントします,
0.8950076,やはりラーメンは僕たちにとって最高なものですよね,
0.8950034,試食してる姿やパッケージのこだわりを語る姿がもはや有名店の凄腕ご主人感があってかっけぇ,
0.8949802,おめでとうございます0年間も私達の事も考え食べやすく美味しそうなラーメンを作って頂きこちらも凄く嬉しいです0月0日が凄く待ちどうしいです̖́,
0.89474446,何かとドキドキするけどヒカキンさんの夢が叶うんだったら嬉しい,
0.8946543,カップ飯大好きなので凄く楽しみです発売日にセブン直行します,
0.8945854,本当に幸せそうな人を見るのってこっちまで幸せな気持ちになるからいいよなぁ,
0.89454204,自分の好きな商品を自分で監修して商品として販売できるなんてすごいな,
0.89443827,本当に楽しみにしてますカートンで買いたいです,
0.89434487,ラーメン苦手だけどその中で0番好きな味がミソだから嬉しい絶対食べる〜,
0.89421475,若い頃に死ぬ程努力して今夢を叶えたり今の成果があるそう思うとやっぱりhikakinさんには憧れる僕もサボってばかりいないでひと踏ん張りしてみようかな,
0.8940917,開発チームに作ってもらってよく自分のラーメンだって豪語できるね,
0.8939323,ヒカキンが青色の服着てると嬉しい,
0.8939048,こうゆう有名人の商品ってぼったくり多いけどヒカキンさんはちゃんと商品として出すのは尊敬,
0.8938978,hikakinさんこんどでいいので薬品のシャンプーとリンスとボディーソープを作ってくださいよお願いします,
0.89389354,僕らに出来る最大の応援は買って美味しく食べるこれに尽きると思ってます絶対食べます,
0.89385027,全国で販売してくれるのめっちゃ嬉しいし絶対食べたい,
0.8938107,終始テンションが高くてどれだけ嬉しいのか分かる,
0.89365554,夢を叶えておめでとうございます本当にhikakinさんは凄い人,
0.89361084,商品紹介を主にやってたyoutuberがこうして今自分の商品を紹介してるのほんと感慨深い,
0.89361084,商品紹介を主にやってたyoutuberがこうして今自分の商品を紹介してるのほんと感慨深い,
0.89351285,自身のメンタルの支えになってたラーメンに対してyoutubeで結果を出して恩返しするのカッコ良すぎて,
0.89351106,ほとんどコメ0個はみんなついてるhikakinさんもっと休んでも良いですよ体調お大事に,
0.8934612,自分の予想のお店出すんじゃないかなと思ってたちょっと異なってましたただ是非とも食べたいです,
0.89344364,コンビニで買えるのが嬉しいです夢を叶えるってすごいです,
0.8933729,グッズじゃなくて自分自身のラーメンを出すなんて凄いです,
0.89329326,やっぱり好きなものを突き詰めるって大変だしやっぱり飽きもあるけど大事だよなマジでhikakinを見るとほんとに頑張ろうって気になれるわガチで元気もらえる,
0.8932647,0時間で0万再生超とはどれだけヒカ様の復活を心待ちにしてる人が多いか分かる,
0.89309365,ラーメンばばあのときを思い出す本当にラーメンが好きというのが伝わります,
0.89297515,こんなに楽しみな発表なかなかないから嬉しい絶対食べますこの勢いでラーメン屋さんも作ってください,
0.892704,hikakinさんにほんとに元気貰ってますし尊敬してます00❛ᴗ❛00ヶ月入院してて大変ですが退院したら絶対食べますψч☆,
0.89238334,誰でも手に取れる価格帯ってのもありがたい必ず買って食べますそしてみんなのコンビニ紹介気になりますね,
0.8923825,同い年で一番尊敬と安心感がある人柄ですラーメン発売おめでとうございます当日買いに行きます,
0.8922262,ニンニク味噌ラーメンって妙高のラーメンから来てるかなだとしたら新潟県民として凄く嬉しい,
0.89216226,hikakinの商品だから買わなくても安心と信頼があるのやばい,
