Column1,Column2
8,ラーメン食べてみたいニッシンとすごいね元スーパー定員とは思えないよね
8,うわぁぁぁぁあすごいよかったね絶対食べる夢に向かって全力で頑張る姿心から尊敬します
8,今までの様々挑戦を経てたどり着いたラーメン食べるの楽しみです
8,復帰おめでとうございます絶対買います見てたら食べたくて仕方ないです
8,姉も食べたいて言ってた絶対買います
8,おめでとうございます楽しみです絶対に食べます
8,絶対食べるそうに決まってる
8,本当に楽しみにしてますカートンで買いたいです
8,ほんとにうれしそうつたわってきます東京に行ったりせずセブンで買えるなんてヒカキンさん本当にありがとうございます
8,おめでとうございますとても美味しそうなラーメンですね早く食べてみたいです
8,本当に今までずっとみていたのできっとhikakinさんならみんなをワクワクさせるご報告なのかな
8,こってり好きにはたまらん楽しみに待ってますラーメン大好きだぁ
8,味噌ラーメン食べたい
8,夢を叶えておめでとうございます本当にhikakinさんは凄い人
8,味噌ラーメン好きにはたまらんなーおめでとうございます
8,濃厚味噌ラーメンが税込で0円なのなぜかひかきんの優しさ詰まってるような感じがしてすき
8,hikakinが作ったラーメンってだけで埋もれないね
8,味噌ラーメンで良かった他の味だと食べないので食べてみます
8,ニンニク味噌ラーメンって妙高のラーメンから来てるかなだとしたら新潟県民として凄く嬉しい
8,一時期すごい太ってた時あったけどラーメンの味作ってたのか
8,ただヒカキンの名前を使った商品ではなくヒカキンが作りたかったラーメンていうのが良いよね
8,感動するなぁヒカキンさんの夢が叶ったの本当に嬉しいなおめでとうございます
8,あたしもラーメンは大好きです ́楽しみにしてます
8,復帰は0日か0日って言ってたけど早い方にしてくれたのはありがたすぎますご報告楽しみです追記報告見ました発売日gじゃないのと平日ってのがまたいいですね欲しすぎる
8,しょーもなとか言ってる人人の夢をそう思うことがしょーもないと思うよ
8,hikakinのラーメン買わない人いない説
8,おめでとうございますヒカキンさんの熱い想いがめちゃくちゃ伝わってきて感動しましたセブンさんに並ぶのを楽しみにしています
8,どうせhikakin印のラーメンでも作ったんでしょ鼻ホジ
8,味噌ラーメンは普段あまり食べませんが流石に買わずにはいられません0日セブンに走ります
8,おめでとうございます全然関係ないけどサービス終了が決まったアプリゲームをサ終取り消させてみたみたいなの出来たら見てみたいですガンダムブレイカーモバイルとか
8,ヒカキン特せいラーメン出来た
8,平成時代のヒカキンうんーーーtodayshikakinpointトゥルルルルルルルルルルマイナス0万点ー
8,ヒカキン俺このラーメン買うよサイコーじゃんyoutubeドリーム見せてきた男の夢の結晶でしょ
8,ヒカキンは何回ラーメンと言ったでしょう
8,本当に尊敬するけどごめんなさいパッケージがやばいクレーマーのすするにしか見えん笑笑
8,ファン視聴者を大事にするヒカキンさんプレゼントだとかばら撒きすぎないで欲しいな
8,ヒカキンー今日買って食べたよメシすごく美味しかったまた買います
